id,이름,로스터리,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛,커피 소개,나라,로스터리 소개,로스터리 주소,이름.1,식품의 유형,제조원 및 소재지,유통기한,제조일자,내용량,보관 방법,원재료 및 함량,제품문의 관련 주소 및 전화번호,카페인,로스터리ID
43,데일리스윗,언더프레셔,블렌드,미디엄다크,,"['토피', '맥아', '흑설탕']",4,2,4,3,중남미 블렌딩으로 깊이 있는 단맛과 초콜렛티함이 조화롭게 어우러진 하우스 블렌드 입니다. 편안한 커피에 초점을 두고 매일 마셔도 기분좋은 달콤함을 담아냈습니다.,"브라질, 과테말라",“일상 속 특별한 휴식” 커피를 추출하는 기본 원리인 물줄기의 압력(Pressure)을 의미하는 ‘언더프레셔’는 그 이름처럼 본질에 충실한 커피를 만들어갑니다. 균형 있는 커피를 내리는 일처럼 일과 삶의 밸런스를 맞춰가는 사람들의 라이프스타일을 응원합니다. 언더프레셔의 신선한 원두와 숙련된 바리스타의 정성으로 완성한 스페셜티 커피를 경험해보세요.,서울 강남구 영동대로106길 37 1층,데일리스윗,커피(볶은커피),"(주)핸디엄, 경기도 여주시 세종대왕면 상동길 68",제조일로부터 12개월,상단 표기일,140g / 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 보관하여 주십시오.","커피원두 100% (브라질산 60%, 과테말라산 40%)",핸디엄 고객센터 1599-2681,1,57
3896,브라질 세라도 디카페인,운조커피,디카페인,미디엄다크,,['null'],4,2,4,3,땅콩의 고소함과 코코아 파우더의 쌉싸름함 진득한 단맛과 클래식한 커피향  중강배전으로 로스팅하여 더욱 깊어진 커피의 맛과 향,세라도,커피가 나에게 준 커다란 변화를 모두와 나누고 싶습니다. 나의 이름이 붙은 커피를 만들고 좋은 생두를 찾고 최적의 로스팅을 위해 매일 새로운 시도와 연구를 하며 느리지만 정직한 과정을 한 잔에 담겠습니다.  지나간 시간의 고통과 노력들이 더 나은 맛으로 나타남을 알기에 지금도 앞으로도 기쁘게 고민하고 천천히 완성해 가겠습니다.,경기도 화성시 동탄지성로 306번길 68,브라질 세라도 디카페인,커피,경기도 화성시 동탄지성로 306번길 68,제조일로부터 1년,주문 확인 후 제조,500g 1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,운조커피 010-4535-8819,0,67
3458,에티오피아 예가체프 아리차 g1 내추럴,제이엠디커피팩토리,싱글오리진,라이트미디엄,유기농,['null'],3,4,5,1,"장미, 베리류의 향과 감귤류의 밝은 산미 부드러운 살구의 단맛, 복합적인 꽃향기의 여운",아리차,"“JMD만의 명품 원두로 그 이상의 무한함을 창조하고자 합니다.” 커피는 이제 단지 특별한 음료, 사치스러운 이미지에 국한되지 않습니다. 30년 이상 경력의 해외현지 최고 로스터가 최고의 맛과 품질을 전달하기 위해 4단계의 품질테스트와 샘플 로스팅, 커핑, 프로파일링의 빅데이터를 가지고 본연의 맛을 살린 로스팅을 합니다. JMD는 언제나 좋은 커피와 함께 여러분들에게 찾아갈 준비가 되어있습니다.",경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,에티오피아 예가체프 아리차 g1 내추럴,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,제이엠디커피팩토리 010-9903-8794,1,77
22,1st WAVE : Supply,뉴웨이브 커피로스터스,블렌드,다크,공정무역,"['다크 초콜릿', '마카다미아', '카라멜']",4,1,3,4,묵직한 단맛과 카카오의 쓴맛이 입안을 가득 채웁니다.,"브라질, 인도","뉴웨이브 커피로스터스는 확고한 커피의 철학으로 우리만의 스타일로 많은 커피를 전달하고 있습니다. '뉴웨이브(New Wave)'는 커피 세대를 상징하는 '웨이브(Wave)'에서 착안해 집에서 인스턴스 커피를 즐기던 첫 번째 세대(퍼스트웨이브)를 거쳐 원두커피와 더불어 공간을 즐기는 두 번째 세대(세컨드웨이브)를 관통해, 스페셜티 커피로 대표되는 세 번째 세대(써드웨이브)까지. 커피를 즐기는 다양한 세대를 넘나들며 새로운 세대가 도래할 때마다 새로운 가이드를 제시할 수있는 롤모델이 되기를 바라는 마음을 담고 있습니다.","서울특별시 양천구 오목로56길 2,1층",1st WAVE : Supply,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 50%, 인도네시아 50%",코케 고객센터 070-4647-1868,1,11
180,에티오피아 리무 볼렌소,베르크 로스터스,싱글오리진,미디엄다크,,"['초콜릿', '과일']",5,3,5,1,"내추럴 프로세싱 특유의 건포도 향미가 선명히 느껴지며, 좋은 클린컵의 부드러운 산미는 오렌지의 향미로 느껴집니다. 부드러운 질감과 묵직한 초콜릿의 단맛이 긴 여운을 남기는 복합적인 향미와 단맛의 여운이 좋은 커피입니다.",리무 볼레소,"부산에 위치한 스몰배치 스페셜티 커피 로스터리이자, 서로 다른 경험과 개성을 가진 4명이 모여 긍정적인 삶의 변화를 추구하는 회사 입니다. 각자의 위치에서 역할에 따라 다양한 활동을 하고 있으며 모든 구성원들이 즐겁게 열정을 유지하며 늘 새로운 방식으로 변화하는 매력적인 브랜드가 되고자 합니다. 커피를 만드는 저희와, 저희 커피를 사용하시는 분, 그리고 커피를 드시는 분까지 좋은 관계를 만들고 함께 하는 것에 의미를 두고 발전하는 것을 중요하게 생각합니다.",부산 부산진구 전포동 356-6 지하1층,에티오피아 리무 볼렌소,볶은커피,"베르크로스터스, 부산광역시 사상구 학감대로222번길 83, 2층",제조일로부터 1년,상품 후면 별도 표기,250g / 500g,건냉한 곳에 밀폐 보관,커피원두100%,코케 고객센터 070-4647-1868,1,34
4603,디카페인 에티오피아,조바티커피,디카페인,미디엄다크,공정무역,['null'],3,2,3,2,"에티오피아 디카페인의 경우 미디움다크 로스팅으로 청포도,그린티,카라멜 등의 맛을 구현하였습니다. 에티오피아 원두 특성답게 산미와 베리맛과 고소함에 구현된 원두입니다.",짐마,"조바티커피 로스터스입니다. Jobatti Coffee Roasters (JCR)  ""Coffee-Impressionism""  스타벅스 같은 세계적인 로스터리 카페를 꿈꾸며 조바티커피를 만들고 있습니다. 대한민국을 대표하는 로스터리로 거듭나겠습니다. 감사합니다.",경기 고양시 일산동구 일산로372번길 30-5 1층,디카페인 에티오피아,커피,경기 고양시 일산동구 일산로372번길 30-5 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,조바티커피 070-4203-6900,0,78
4684,제우스 블렌딩,라메르판지 비앤알,블렌드,미디엄,,"['자몽', '황설탕', '아몬드', '초콜릿']",4,2,4,3,허브 및 꽃의 편안한 산미와 밀크 초콜릿을 먹는 듯한 부드러운 달콤함을 주며 깔끔한 여운으로 복합적인 향미가 일관되게 유지됩니다.  ※에스프레소 뿐만 아니라 각종 브루잉 도구까지 다양한 방식으로 즐길 수 있는 커피입니다.,"브라질, 온두라스, 콜롬비아","라 메르 판지 제조사인 라 메르 판지 B&R은 베이커리와 원두를 제조하는 회사로, 안전하고 질 좋은 먹거리를 제공하기 위해 HACCP인증을 마친 프리미엄 베이커리 만을 취급하는 회사입니다.",울산 북구 판지1길 30,제우스 블렌딩,커피,라메르판지 비앤알 / 울산광역시 북구 판지1길 30 (지상2~3층 구유동),제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,라메르판지비앤알 0522928787,1,18
1022,스윗 앤 모어,토치커피,블렌드,미디엄다크,,"['케인슈가', '카라멜', '밀크 초콜릿', '아몬드']",4,2,4,1,"밸런스가 좋고, 자극적이지 않은 클린한 커피라 누구나 무난하게 즐기기 좋은 커피입니다.","에티오피아, 과테말라, 브라질, 콜롬비아","토치커피는 커피 산지를 다니며 생두를 선별하여 수입 납품하는 브랜드입니다. 매년 개성 있는 싱글 오리진 커피들을 소개하고, 안정적이고 일관된 블렌드 커피를 제공합니다, 우리는 산지에서 부터 최종 음료가 나오기까지의 모든 과정을 컨트롤 합니다. 커피를 생산하는 사람, 그리고 그 커피를 소비하는 사람 그 둘을 잇는 가교 역할에 충실하고 그 과정속에 우리와 관계한 사람들의 행복을 추구합니다.",서울시 강남구 봉은사로 68길 41,스윗 앤 모어,커피,"서울시 강남구 봉은사로 68길 41, 1층",제조일로부터 1년,주문일로부터 3일이내,200g / 1kg,직사광선을 피하고 밀봉하여 실온보관,"커피원두 100%(브라질, 콜롬비아, 과테말라, 에티오피아)",코케 고객센터 070-4647-1868,1,98
23,2nd WAVE : Customizing,뉴웨이브 커피로스터스,블렌드,미디엄다크,공정무역,"['밀크 초콜릿', '오렌지', '베리류']",4,3,4,2,뉴웨이브의 대표 블렌드로써 감귤 초콜릿을 먹는 듯 균형잡힌 산미와 단맛으로 거부감 없이 입맛을 즐겁게 합니다.,"브라질, 에티오피아, 인도","뉴웨이브 커피로스터스는 확고한 커피의 철학으로 우리만의 스타일로 많은 커피를 전달하고 있습니다. '뉴웨이브(New Wave)'는 커피 세대를 상징하는 '웨이브(Wave)'에서 착안해 집에서 인스턴스 커피를 즐기던 첫 번째 세대(퍼스트웨이브)를 거쳐 원두커피와 더불어 공간을 즐기는 두 번째 세대(세컨드웨이브)를 관통해, 스페셜티 커피로 대표되는 세 번째 세대(써드웨이브)까지. 커피를 즐기는 다양한 세대를 넘나들며 새로운 세대가 도래할 때마다 새로운 가이드를 제시할 수있는 롤모델이 되기를 바라는 마음을 담고 있습니다.","서울특별시 양천구 오목로56길 2,1층",2nd WAVE : Customizing,볶은커피,"뉴웨이브커피로스터스, 서울시 양천구 오목로 56길 2, 영원빌딩 103호",제조일로부터 12개월,제품하단부 표시,200g / 1kg,직사광선을 피하고 서늘한 곳에 보관하세요.,"브라질 생두 40%, 인도네시아 40%, 에티오피아 20%",코케 고객센터 070-4647-1868,1,11
4823,L 블렌드,리플로우 커피 로스터스,블렌드,다크,,['null'],4,1,4,3,단맛과 바디감에 초점을 둔 강배전의 블렌딩 원두입니다. 복합적인 단맛과 견과류의 고소함과 보다 무거운 바디감을 자랑합니다. 깔끔하면서 은은하게 커피의 여운을 길게 느낄 수 있습니다.,"브라질, 콜롬비아, 베트남","리플로우 커피 로스터스는 고객들이 부담 없는 가격으로 스페셜티 커피를 즐길 수 있게 합니다. 이는 커피의 품질에 대한 타협에서도, 공정 과정에서 들어가는 노력에 대한 타협에서도 나오는 것이 아닙니다. 오롯이 고객들을 생각하는 마음의 결과물일 뿐입니다. 가장 맛있으면서도 가장 편안한 스페셜티 커피, 이것이 리플로우 커피 로스터스의 지향점입니다.","서울특별시 마포구 월드컵북로6길 88, 2층(동교동)",L 블렌드,커피,"서울특별시 마포구 월드컵북로6길 88, 2층(동교동)",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,리플로우 커피 로스터스 010-4932-9198,1,29
3583,스프링 블렌드,커스프 커피,블렌드,미디엄,,['null'],3,4,3,2,"겨울이 끝나고, 드디어 찾아온 따뜻하고 기분 좋은 봄바람을 타고 코속을 간지리는 기분 좋은 꽃 향과 같은 블렌드 커피라고 자부할 수 있는 향긋한 커피입니다. 청포도의 산뜻한 향과 입안에서 달콤하게 느껴지는 꿀의 단맛과 함께 사과의 기분 좋은 산미로, 이름 그대로 봄이 생각나는 향긋한 산미의 커피입니다. 산미있는 커피를 추구하는 커피이거나, 고소한 커피와 함께 세팅하기를 추천드리는 기분 좋은 산미의 블렌드 커피입니다.","에티오피아, 콜롬비아, 코스타리카","커스프는 스텀프타운에서 시작한 20년 경력의 대표 로스터 JAY가 창업한 뉴욕 브루클린의 로스터리 카페 입니다. 커스프는 한국에 로스터리를 구축하여 JAY가 만들어낸 커스프만의 특별한 로스팅 프로파일을 소개하고 있습니다. 뉴욕의 트렌디한 커피 커스프를 경험해보세요!  커스프는 주문 건에 대한 당일 로스팅으로 신선한 원두를 제공해드리고 있으며, 커스프팀 소속의 로스터, 바리스타 한명 한명은 매일매일 진심을 다해 커피를 볶습니다.",서울시 강남구 학동로31길 12 7F,스프링 블렌드,커피,"서울시 강서구 공항대로 164, 411",제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커스프 커피 010-3267-0430,1,85
3460,디카페인 에티오피아 예가체프 콩가 내추럴,제이엠디커피팩토리,디카페인,미디엄,유기농,['null'],3,4,5,3,"에티오피아 콩가 내츄럴의 뉘앙스를 그대로 느낄수 있는 디카페인 원두 입니다. 자두의 향미와 달고나의 단맛, 부드러운 산미, 꽃 내음이 도는 기분좋은 잔향이 특징 입니다.",,"“JMD만의 명품 원두로 그 이상의 무한함을 창조하고자 합니다.” 커피는 이제 단지 특별한 음료, 사치스러운 이미지에 국한되지 않습니다. 30년 이상 경력의 해외현지 최고 로스터가 최고의 맛과 품질을 전달하기 위해 4단계의 품질테스트와 샘플 로스팅, 커핑, 프로파일링의 빅데이터를 가지고 본연의 맛을 살린 로스팅을 합니다. JMD는 언제나 좋은 커피와 함께 여러분들에게 찾아갈 준비가 되어있습니다.",경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,디카페인 에티오피아 예가체프 콩가 내추럴,커피,경기 고양시 일산동구 장대길 75-53 나동 1층 JMD Coffee Factory,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,제이엠디커피팩토리 010-9903-8794,0,77
118,숲,나무사이로,블렌드,미디엄,직접무역,"['구운 땅콩', '향신료', '카카오', '레몬']",4,4,5,1,"숲 블렌드는 마치 숲에 들어온 듯한 느낌을 줍니다. 달고나의 달콤 쌈싸름한 맛, 레몬, 민트의 싱그러운 느낌이 조화를 이룹니다. 깊고 묵직하고 달콤하고 시원한 숲 속 공기를 상상해 보세요.","에티오피아, 브라질","2002년에 시작한 나무사이로는 한 잔의 커피로 우리의 일상이 풍요로워지기를 바랍니다. 지속적으로 산지를 방문하여 농부•생산업자와 소통하며 좋은 재료와 논리적인 로스팅, 철저한 품질관리를 기반으로 커피가 가진 다양한 매력을 소개합니다.","경기도 성남시 분당구 석운로 33, 나무사이로",숲,커피,"나무사이로, 경기도 성남시 분당구 석운로 33",제조일로부터 1년,별도표기,200g / 1kg,직사광선을 피하고 서늘하고 건조한 곳,아라비카 원두 100%,코케 고객센터 070-4647-1868,1,8
4737,콜롬비아 디카페인,전광수 커피,디카페인,라이트미디엄,,['null'],2,4,3,1,과일에서 느껴질 듯한 향미와 더불어 가벼우면서 거칠지 않은 바디감이 특징입니다. 또한 단맛이 잘 어우러진 산미의 표현으로 구운 사과와 호박조청의 맛을 느끼실 수 있습니다.,콜롬비아,전광수커피는 1996년 창업 이후 커피 1세대 로스터가 운영하는 강배전 로스팅 전문 회사로써 일찍부터 국내에 핸드드립 커피를 전파하는데 앞장섰으며 고품질 원두를 제공하는 회사입니다.  식은 커피에서 근사함을 느껴보셨나요? 그러한 커피를 소개합니다.,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,콜롬비아 디카페인,커피,경기도 하남시 조정대로 150 (아이테코) 오렌지존 226호,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",콜롬비아 디카페인 커피원두 100%,전광수 커피 010-2936-0501,0,75
3739,콜롬비아 메사 알타,오프사이트,싱글오리진,미디엄다크,,['null'],4,3,4,3,"복합적인 붉은 과일향, 레드와인과 럼, 베리잼의 풍미, 카카오의 여운을 가진 커피입니다.",퀸디오 킨바야,"[ OFF-SIGHT ] 시각적 이미지는 우리에게 유용한 정보를 가져다주지만 때론 중요한 본질을 놓치게 만들기도 합니다. 커피를 마시는 공간, 그리고 잔 안에 담긴 음료, 그 이상의 가치를 담아내기 위해 오프사이트는 오늘도 노력합니다. 철저하게 테스트를 거쳐 선별된 생두로 로스팅하며, 일반 소비자분들께도 충분히 설득력있는 맛을 표현해드리고자 노력합니다.",경기도 파주시 조리읍 고봉로 929 2층,콜롬비아 메사 알타,커피,경기도 파주시 조리읍 고봉로 929 2층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,오프사이트 0507-1399-2781,1,63
3907,에티오피아 케라모 G1 워시드,수수커피,싱글오리진,미디엄,,['null'],2,3,3,1,"상큼하고 깔끔한 향이 인상적이며, 단 맛과 긴 여분이 좋은 커피예요.",,"수수커피는 '수수하다'라는 사전적 의미처럼 꾸미지 않고 커피가 가진 본연의 맛을 추구합니다. 생두가 한 잔의 커피가 되기까지 여정의 마무리는 결국 '마시는 사람'입니다. 커피를 내려 마실 때 그 원두가 가진 스토리를 알고 있는지, 어떤 페어링을 하는지, 어떤 부분에서 어떤 노트를 찾는지에 따라 한 잔에 대한 감각은 달라질 수 있습니다. 저희는 마시는 사람에게 아직은 낯선 원두에 설레는 호기심을 불어 넣고, 취향으로서의 커피를 즐길 수 있게 돕고자 합니다.",서울시 강남구 강남대로154길 24 준영빌딩 1층,에티오피아 케라모 G1 워시드,커피,"서울특별시 강남구 테헤란로 129, 지하 1층 2, 3호(역삼동)",제조일로부터 1년,주문 확인 후 제조,200g,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,수수커피 010-5068-4771,1,43
3084,송버드(Song Bird),그린마일커피,블렌드,미디엄,,['null'],2,4,4,1,조화로운 커피 한 모금을 귀로 듣는다면 청아한 새소리가 아닐까요? 순수한 재료에서 나오는 단맛과 산미의 조화에 집중 했습니다. 그린마일커피 스페셜티 블렌드 ‘송버드’,"과테말라, 에티오피아","저희는 소비자가 좋아하는 맛있는 커피, 각각의 특징이 살아있는 스페셜티 에스프레소 블렌드와 싱글 오리진을 합리적인 가격으로 제공하고 있습니다.  “Walk the green mile” 저희는 화려하게 드러나지는 않지만 묵묵하게 그 길에 있습니다. 좋은 커피는 좋은 재료의 선별에서부터 시작됩니다. 이는 결코 타협하지 않는 저희 자신과의 약속으로 2009년, 그린마일 커피의 시작부터 오늘까지 변함없이 지키고 있습니다.",서울시 중랑구 신내역로 111 SKV1 센터,송버드(Song Bird),커피,서울시 중랑구 신내역로 111 SKV1 센터,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,그린마일커피,1,6
4701,디카페인,커피네츄럴스페셜티,디카페인,미디엄,,['null'],3,2,4,1,커피 본연의 맛과 향미를 유지하며 카페인이 제거된커피 카페인을 드시지 못하는 손님을 위한 원두 아메리카노와 라떼 모두 잘 어울리는 원두,"과테말라, 콜롬비아","커피네츄럴스페셜티는 15년 이상 커피산업에 종사하면서 쌓은 노하우와 커피업계 다양한 대회에서 많은 수상 이력과 심사경력을 가지고 있는 로스터리 업체로, 카페 창업 컨설팅, 원두 납품, 바리스타 교육, 카페 운영 등을 주사업으로 하고 있습니다.특히 500평 이상 대형 베이커리 카페 컨설팅에 전문성을 가지고 있습니다.",,디카페인,커피,경기도 고양시 덕양구 행신동 741-17 1층,제조일로부터 1년,주문 확인 후 제조,1kg,"직사광선을 피하고 온도, 습도가 낮으며 통풍이 잘 되는 곳에 밀폐 보관",커피원두 100%,커피네츄럴스페셜티 01090945303,0,89
